,Train,2006
0,Total U.S.-Canadian border,32526
1,Total top 5 gateways,17662
2,"Port Huron, MI",4439
3,"International Falls, MN",4259
4,"Detroit, MI",3610
5,"Buffalo-Niagara, NY",2807
6,"Warroad, MN",2547
