,Train,2004
0,Total U.S.-Canadian border,33267
1,Total top 5 gateways,18564
2,"Port Huron, MI",5276
3,"Detroit, MI",3936
4,"International Falls, MN",3720
5,"Buffalo-Niagara, NY",2976
6,"Warroad, MN",2656
