,Truck Container,2010
0,Total U.S.-Mexican border,4709137
1,Total top 5 gateways,3765646
2,"Laredo, TX",1573315
3,"Otay Mesa/San Ysidro, CA",731960
4,"El Paso, TX",689305
5,"Hidalgo, TX",459698
6,"Nogales, AZ",311368
