,Personal vehicle passengers ─ top 5 gateways,2005
0,"San Ysidro, CA",32265477
1,"El Paso, TX",29180824
2,"Brownsville, TX",14614745
3,"Laredo, TX",14017324
4,"Hidalgo, TX",13989453
