,Bus passengers – top 5 gateways,2002
0,"Buffalo-Niagara Falls, NY",1556924
1,"Detroit, MI",915551
2,"Blaine, WA",336696
3,"Champlain-Rouses Point, NY",282859
4,"Port Huron, MI",147309
