,Train passengers – top 5 gateways,2014
0,"Skagway, AK",81393
1,"Blaine, WA",75527
2,"Champlain-Rouses Point, NY",49754
3,"Buffalo-Niagara Falls, NY",22441
4,"Port Huron, MI",10001
