,Train,2015
0,Total U.S.-Mexican border,9991
1,Total top 5 gateways,9526
2,"Laredo, TX",3634
3,"Eagle Pass, TX",2814
4,"El Paso, TX",1528
5,"Nogales, AZ",801
6,"Brownsville, TX",749
