,Bus passengers – top 5 gateways,2005
0,"Buffalo-Niagara Falls, NY",1367283
1,"Detroit, MI",931100
2,"Champlain-Rouses Point, NY",296390
3,"Blaine, WA",294564
4,"Skagway, AK",134204
