,Truck Container,2013
0,Total U.S.-Mexican border,5031783
1,Total top 5 gateways,4041207
2,"Laredo, TX",1820187
3,"Otay Mesa/San Ysidro, CA",770120
4,"El Paso, TX",652660
5,"Hidalgo, TX",485980
6,"Nogales, AZ",312260
