,Â,1965,1970,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012(R),2013
0,Number registered (thousands),787.0,905.0,1131.0,1417.0,1403.0,1709.0,1691.0,1675.0,1680.0,1682.0,1696.0,1747.0,1790.0,1997.0,2029.0,2097.0,2154.0,2277.0,1908.0,2010.0,2087.0,2170.0,2635.0,2585.0,2617.0,2553.0,2452.0,2469.0,2471.0
1,Vehicle-kilometers traveled (millions),51016.0,56488.0,75156.0,110562.0,125690.0,151761.0,155463.0,160130.0,165923.0,175258.0,185879.0,191349.0,200499.0,206574.0,213051.0,217294.0,219811.0,223276.0,225566.0,229122.0,231791.0,228799.0,296440.0,295839.0,270530.0,282905.0,263597.0,263291.0,271071.0
2,Fuel consumed (million liters),25203.0,27815.0,34739.0,49350.0,53015.0,61070.0,63629.0,65170.0,67183.0,70609.0,74864.0,76437.0,76850.0,95233.0,92884.0,97155.0,96573.0,100236.0,90151.0,91573.0,104814.0,106395.0,116986.0,115686.0,106181.0,113285.0,106677.0,105898.0,109001.0
3,Average kilometers traveled per vehicle (thousands),64.9,62.4,66.5,78.0,89.6,88.8,91.9,95.6,98.7,104.2,109.6,109.6,112.0,103.4,105.0,103.6,102.0,98.1,118.2,114.0,111.1,105.5,112.5,114.4,103.4,110.8,107.5,106.6,109.7
4,Average kilometers traveled per liter,2.0,2.0,2.2,2.2,2.4,2.5,2.4,2.5,2.5,2.5,2.5,2.5,2.6,2.2,2.3,2.2,2.3,2.2,2.5,2.5,2.2,2.2,2.5,2.6,2.5,2.5,2.5,2.5,2.5
5,Average fuel consumed per vehicle (liters),32044.4,30732.3,30721.9,34830.6,37779.5,35736.6,37620.7,38898.8,39982.9,41991.8,44148.0,43763.7,42933.9,47679.9,45788.0,46339.0,44830.6,44027.8,47240.0,45550.9,50228.3,49037.3,44391.1,44748.6,40571.6,44375.5,43512.5,42889.5,44105.7
