,Â,1960,1965,1970,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0,TOTAL demand,60761,71187,89601,102996,104838,107550,113606,112222,114883,116579,118717,120253,122595,124235,127978,131781,131891,133740,138041,139156,141146,140549,139794,139897,135976,136696,137706,135145,134970,135141,137527
1,Highway,55429,66979,85598,99354,101183,103545,109529,107913,110974,113668,115682,117061,119515,120938,124694,128743,128884,129682,133736,134643,136419,135664,134882,135414,132205,132878,133725,131274,131252,131299,133648
2,"Nonhighway, total",5332,4208,4003,3642,3655,4005,4076,4309,3908,2911,3035,3192,3081,3297,3284,3038,3007,4058,4305,4514,4727,4885,4912,4484,3771,3818,3981,3871,3718,3842,3879
3,Agriculture,2292,1963,1932,1565,1059,1081,681,779,806,846,912,927,918,984,907,703,652,802,832,853,1094,1078,1229,1061,634,676,784,799,875,655,644
4,Aviationa,1324,501,393,410,413,382,361,339,344,340,364,367,344,335,351,322,296,356,342,304,314,332,355,362,298,326,240,221,193,213,176
5,Marine,61,96,598,730,1052,1053,1300,1710,1319,874,897,1060,994,987,956,1098,1124,994,1081,1108,1033,1262,1237,1222,1136,1130,1167,1104,1093,1123,1419
6,Otherb,1656,1647,1080,938,1131,1490,1733,1482,1439,850,862,838,825,990,1070,915,934,1907,2051,2249,2286,2213,2090,1840,1704,1685,1790,1747,"(R) 1,558","(R) 1,853",1639
