,Pedestrians ─ top 5 gateways,2013
0,"San Ysidro, CA",7741210
1,"El Paso, TX",6015421
2,"Calexico, CA",4398916
3,"Laredo, TX",3558660
4,"Otay Mesa, CA",3289778
