,Personal vehicle passengers ─ top 5 gateways,2013
0,"San Ysidro, CA",19887054
1,"El Paso, TX",17545433
2,"Otay Mesa, CA",10884910
3,"Hidalgo, TX",9608966
4,"Laredo, TX",9588200
