,Â,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
0,RFG (assuming  100% RFG),Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
1,Light-duty  vehicles,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
2,Exhaust  HC,1.45,1.28,1.15,1.04,0.97,0.84,0.76,0.68,0.62,0.55,0.47,0.41,0.38,0.35
3,Nonexhaust  HC,0.89,0.87,0.86,0.84,0.82,0.64,0.63,0.61,0.59,0.57,0.54,0.51,0.47,0.43
4,Total  HC,2.34,2.15,2.01,1.88,1.78,1.48,1.39,1.29,1.21,1.12,1.02,0.92,0.85,0.78
5,Exhaust  CO,22.78,20.84,19.43,18.25,17.21,15.36,14.68,13.88,13.17,12.49,11.44,9.81,9.29,8.84
6,Exhaust  NOx,1.78,1.64,1.55,1.46,1.35,1.24,1.19,1.12,1.06,1.00,0.90,0.77,0.72,0.66
7,Light-duty  trucks,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
8,Exhaust  HC,2.09,1.85,1.69,1.55,1.44,1.27,1.18,1.07,0.97,0.89,0.71,0.63,0.59,0.50
9,Nonexhaust  HC,0.93,0.91,0.89,0.87,0.85,0.68,0.67,0.64,0.62,0.59,0.56,0.53,0.50,0.47
10,Total  HC,3.02,2.75,2.58,2.42,2.29,1.96,1.84,1.71,1.59,1.48,1.28,(R) 1.16,1.09,0.97
11,Exhaust  CO,31.86,29.46,27.70,26.19,24.63,22.25,21.09,19.71,17.78,16.66,14.47,15.79,12.03,11.22
12,Exhaust  NOx,1.84,1.73,1.65,1.59,1.55,1.47,1.45,1.41,1.36,1.31,1.20,1.07,1.01,0.93
13,Heavy-duty  vehicles,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
14,Exhaust  HC,2.14,1.91,1.70,1.48,1.32,1.16,1.03,0.92,0.77,0.70,0.62,0.51,0.45,0.40
15,Nonexhaust  HC,1.72,1.64,1.56,1.50,1.43,1.12,1.07,1.03,1.01,0.97,0.90,0.83,0.78,0.73
16,Total  HC,3.86,3.55,3.26,2.98,2.75,2.28,2.10,1.96,1.78,1.67,1.51,1.34,1.23,1.13
17,Exhaust  CO,46.02,41.15,36.62,32.80,29.12,25.87,22.88,20.41,16.87,15.33,13.89,12.01,11.25,10.41
18,Exhaust  NOx,6.13,5.90,5.74,5.57,5.41,5.18,5.01,4.86,4.75,4.63,4.36,3.79,3.39,3.00
19,Motorcycles,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
20,Exhaust  HC,1.69,1.63,1.63,1.62,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61
21,Nonexhaust  HC,0.55,0.54,0.53,0.53,0.53,0.43,0.43,0.43,0.44,0.44,0.43,0.43,0.42,0.41
