,Train,2009
0,Total U.S.-Canadian border,24034
1,Total top 5 gateways,13013
2,"International Falls, MN",3286
3,"Port Huron, MI",3064
4,"Buffalo-Niagara, NY",2312
5,"Warroad, MN",2277
6,"Detroit, MI",2074
