,Rail Container,2009
0,Total U.S.-Mexican border,574299
1,Total top 5 gateways,563965
2,"Laredo, TX",271095
3,"Eagle Pass, TX",141664
4,"El Paso, TX",72353
5,"Nogales, AZ",44832
6,"Brownsville, TX",34021
