,Engine type and pollutant,1970-73,1974-78,1979-83,1984,1985-86,1987,1988-89,1990,1991-93,1994-97,1998-2003,2004,2005-2006,2007,2008+
0,Gasoline,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
1,HC + NOx,e,16,10,10,e,e,e,e,e,e,e,e,e,e,e
2,NOx + NMHC,e,e,e,e,e,e,e,e,e,e,e,e,1.0,1.0,e
3,NMHC,e,e,e,e,e,e,e,e,e,e,e,e,e,e,0.14
4,HC,f,e,1.5,1.5,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,e,e,e
5,NOx,e,e,e,e,10.6,10.6,10.6,6.0,5.0,5.0,4.0,4.0,e,e,0.20
6,CO,f,40,25,25,37.1,37.1,37.1,37.1,37.1,37.1,37.1,37.1,37.1,37.1,14.4
7,Particulates,e,e,e,e,e,e,e,e,e,e,e,e,e,e,0.01
8,Diesel,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
9,HC + NOx,e,16,10,e,e,e,e,e,e,e,e,e,e,e,e
10,HC,f,e,1.5,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,e,e,e,e
11,NOx,e,e,e,10.7,10.7,10.7,10.7,6.0,5.0,5.0,4.0,e,e,0.20,0.20
12,NOx + NMHC,e,e,e,e,e,e,e,e,e,e,e,2.4g,2.4g,e,e
13,NMHC,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,0.14,0.14
14,CO,f,40,25,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5
15,Particulates,e,e,e,e,e,e,0.60,0.60,0.25,0.10,0.10,0.10,0.10,0.01,0.01
16,Smoke opacity (acceleration / lugging / peak)a,40/20e,20/15/50,20/15/50,20/15/50,20/15/50,20/15/50,20/15/50,20/15/50,20/15/50,20/15/50,20/15/50,20/15/50,20/15/50,20/15/50,20/15/50
17,Weight criteria for heavy heavy-duty trucksb,"GVWR over 6,000 lbs","GVWR over 6,000 lbs","GVWR over 8,500 lbs","GVWR over 8,500 lbs","GVWR over 8,500 lbs","GVWR over 14,000 lbs","GVWR over 14,000 lbs","GVWR over 14,000 lbs","GVWR over 14,000 lbs","GVWR over 14,000 lbs","GVWR over 14,000 lbs","GVWR over 14,000 lbs","GVWR over 14,000 lbs","GVWR over 14,000 lbs","GVWR over 14,000 lbs"
18,"Test procedure, gasolinec",13-mode steady-state,13-mode steady-state,13-mode steady-state,13-mode steady-state,MVMA transient,MVMA transient,MVMA transient,MVMA transient,MVMA transient,MVMA transient,MVMA transient,MVMA transient,MVMA transient,MVMA transient,MVMA transient
19,"Test procedure, dieselc",13-mode steady-state,13-mode steady-state,13-mode steady-state,EPA transient,EPA transient,EPA transient,EPA transient,EPA transient,EPA transient,EPA transient,EPA transient,EPA transient,EPA transient,EPA transient,EPA transient
20,Useful life (gasoline)d,"5 years/50,000 miles","5 years/50,000 miles","5 years/50,000 miles","5 years/50,000 miles","8 years/110,000 miles","8 years/110,000 miles","8 years/110,000 miles","8 years/110,000 miles","8 years/110,000 miles","8 years/110,000 miles","8 years/110,000 miles","10 years/110,000 miles","10 years/110,000 miles","10 years/110,000 miles","10 years/110,000 miles"
