,Truck Container,2014
0,Total U.S.-Mexican border,5313783
1,Total top 5 gateways,4285646
2,"Laredo, TX",1923085
3,"Otay Mesa/San Ysidro, CA",813099
4,"El Paso, TX",696611
5,"Hidalgo, TX",520087
6,"Nogales, AZ",332764
