,Pedestrians ─ top 5 gateways,2015
0,"San Ysidro, CA",7056022
1,"El Paso, TX",6847689
2,"Calexico, CA",4498322
3,"Laredo, TX",3542190
4,"Otay Mesa, CA",3411485
