,Train,2003
0,Total U.S.-Mexican border,7774
1,Total top 5 gateways,7265
2,"Laredo, TX",3510
3,"Eagle Pass, TX",1624
4,"Brownsville, TX",1045
5,"El Paso, TX",629
6,"Nogales, AZ",457
