,Truck,2006
0,Total U.S.-Mexican border,4759679
1,Total top 5 gateways,3778528
2,"Laredo, TX",1518989
3,"Otay Mesa, CA",749472
4,"El Paso, TX",744951
5,"Hidalgo, TX",457825
6,"Calexico East, CA",307291
