,Truck,2003
0,Total U.S.-Canadian border,6735737
1,Total top 5 gateways,4478405
2,"Detroit, MI",1634319
3,"Buffalo-Niagara, NY",1162961
4,"Port Huron, MI",928074
5,"Champlain-Rouse Pt., NY",387962
6,"Blaine, WA",365089
