,Train passengers – top 5 gateways,2011
0,"Blaine, WA",75482
1,"Skagway, AK",73307
2,"Champlain-Rouses Point, NY",47855
3,"Buffalo-Niagara Falls, NY",30702
4,"Detroit, MI",8550
