,Â,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,(P) 2013,(P) 2014
0,"All transit rail, total",18450,17547,19402,17047,15877,16173,15864,9903,8286,8751,8534,8889,9883,9492,9682,9467,10728,10392,11382,8820
1,Transit only,18323,17413,19283,16941,15737,16025,15763,9505,8010,8440,7999,8713,9700,9321,9508,9285,10550,10232,11280,8669
2,Grade crossing,127,134,119,106,140,148,101,398,276,311,535,176,183,171,174,182,178,160,102,151
3,"Light rail, total",1276,1350,1173,1121,1182,1319,1299,1105,983,931,1130,1138,1190,872,773,585,696,737,838,920
4,Transit only,1178,1253,1107,1055,1079,1213,1245,785,766,693,689,1041,1090,759,667,470,580,621,758,790
5,Grade crossing,98,97,66,66,103,106,54,320,217,238,441,97,100,113,106,115,116,116,80,130
6,"Heavy rail, total",14327,13748,15151,13516,12196,12782,12406,7078,5554,6222,5741,6176,6753,6932,6985,6808,7928,7852,8828,6327
7,Transit only,14325,13746,15146,13513,12195,12781,12398,7076,5553,6221,5740,6173,6748,6927,6982,6807,7926,7849,8826,6324
8,Grade crossing,2,2,5,3,1,1,8,2,1,1,1,3,5,5,3,1,2,3,2,3
9,"Automated guideway, total",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,117,80,92,68
10,Transit only,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,117,80,92,68
11,Grade crossing,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0
12,"Commuter rail, total",2847,2449,3078,2410,2499,2072,2159,1720,1749,1598,1663,1575,1940,1688,1924,2074,1987,1723,1624,1505
13,Transit only,2820,2414,3030,2373,2463,2031,2120,1644,1691,1526,1570,1499,1862,1635,1859,2008,1927,1682,1604,1487
14,Grade crossing,27,35,48,37,36,41,39,76,58,72,93,76,78,53,65,66,60,41,20,18
