,Â,1960,1965,1970,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0,Highwaya,3545693,3689666,3730082,3838146,3859837,3863912,3866926,3883920,3901081,3905211,3906595,3912226,3919652,3945872,3906290,3917243,3936222,3948335,3966485,3974107,3981512,3995635,4016741,4032126,4042778,4050717,4067077,4077756,4092730,4115462,4177073
1,"Class I railb,c",207334,199798,196479,191520,164822,145764,119758,116626,113056,110425,109332,108264,105779,102128,100570,99430,99250,97817,100125,99126,97662,95664,94801,94313,94082,93921,95573,95387,"(R) 95,391",95235,94372
2,Amtrakc,N,N,N,N,24000,24000,24000,25000,25000,25000,25000,24000,25000,25000,22000,23000,23000,23000,23000,22675,22256,22007,21708,21708,21178,21178,21178,21225,"(R) 21,334",21356,21356
3,Transitd,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
4,Commuter railc,N,N,N,N,N,3574,4132,4038,4013,4090,4090,4160,3682,4417,5172,5191,5209,5209,6831,6809,6875,7118,6972,7135,7261,7561,7630,7576,7722,7731,7795
5,Heavy rail,N,N,N,N,N,1293,1351,1369,1403,1452,1455,1458,1478,1527,1527,1540,1558,1572,1572,1597,1596,1622,1623,1623,1623,1623,1617,1617,1622,1622,1622
6,Light raile,N,N,N,N,N,384,483,551,558,537,562,568,638,659,676,802,834,897,960,996,1187,1188,1280,1341,1397,1477,1497,1740,1724,1836,1877
7,Navigable channelsf,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000
8,"Oil pipelineg,h",U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,158248,160990,159889,166669,166760,166719,169846,173789,175965,181986,183580,186221,"(R) 192,405",199653
9,Gas pipelinei,U,U,U,U,U,1315017,1546955,1560633,1536382,1612973,1739152,1700449,1694925,1734443,1818184,1764724,1788100,1838359,1899845,1872748,1925748,1962351,2022428,2025685,2075144,"(R) 2,086,642","(R) 2,102,163","(R) 2,120,876","(R) 2,137,565","(R) 2,149,400",2168783
