,Personal vehicles – top 5 gateways,2010
0,"Buffalo-Niagara Falls, NY",5477863
1,"Detroit, MI",4051434
2,"Blaine, WA",3365754
3,"Port Huron, MI",1651107
4,"Calais, ME",1054681
