,Rail Container,2013
0,Total U.S.-Canadian border,2285902
1,Total top 5 gateways,1639445
2,"International Falls, MN",561238
3,"Port Huron, MI",425774
4,"Portal, ND",256587
5,"Detroit, MI",227916
6,"Blaine, WA",167930
