,Train passengers – top 5 gateways,2002
0,"Blaine, WA",60521
1,"Buffalo-Niagara Falls, NY",47315
2,"Champlain-Rouses Point, NY",33738
3,"Skagway, AK",29754
4,"Port Huron, MI",26815
