,Truck,2015
0,Total U.S.-Mexican border,5535371
1,Total top 5 gateways,4476789
2,"Laredo, TX",2015773
3,"Otay Mesa, CA",829581
4,"El Paso, TX",747702
5,"Hidalgo, TX",546259
6,"Calexico East, CA",337474
