,Truck Container,2004
0,Total U.S.-Canadian border,6775388
1,Total top 5 gateways,4520932
2,"Detroit, MI",1638062
3,"Buffalo-Niagara, NY",1175884
4,"Port Huron, MI",947907
5,"Champlain-Rouse Pt., NY",381434
6,"Blaine, WA",377645
