,Train passengers – top 5 gateways,2008
0,"Skagway, AK",77137
1,"Buffalo-Niagara Falls, NY",37449
2,"Blaine, WA",34749
3,"Champlain-Rouses Point, NY",32274
4,"Detroit, MI",9385
