,Train passengers – top 5 gateways,2005
0,"Skagway, AK",67462
1,"Buffalo-Niagara Falls, NY",35951
2,"Blaine, WA",35454
3,"Champlain-Rouses Point, NY",29831
4,"Port Huron, MI",19032
