,Â,1965,1970,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,(R) 2014,2015
0,Total sales of new cars,9333,8403,8538,8982,10978,9300,8175,8214,8518,8990,8620,8479,8218,8085,8638,8778,8352,8042,7556,"(R) 7,482",7660,7761,7562,6769,5401,5636,6090,7244,7585,7689,7525
1,Consumer,7103,6252,5907,6100,7092,5677,4424,4566,4656,4600,4319,4056,3881,3953,4359,4639,4591,4489,4307,4239,4302,4296,4082,3734,3199,2886,3260,"(R) 3,857",3909,3845,3505
2,Business,2140,2056,2508,2758,3754,3477,3648,3529,3672,4183,4060,4197,4138,3914,4047,3914,3538,3348,3049,3051,3142,3213,3229,2800,2016,2593,2677,3266,"(R) 3,556",3690,3885
3,Government,90,94,123,124,133,147,103,119,190,207,242,225,198,219,232,224,223,205,200,192,216,252,250,234,187,157,153,(R) 121,(R) 121,154,135
4,Percentage of total sales,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
5,Consumer,76.1,74.4,69.2,67.9,64.6,61.0,54.1,55.6,54.7,51.2,50.1,47.8,47.2,48.9,50.5,52.9,55.0,55.8,57.0,56.7,56.2,55.4,54.0,55.2,59.2,51.2,53.5,53.2,51.5,50.0,46.6
6,Business,22.9,24.5,29.4,30.7,34.2,37.4,44.6,43.0,43.1,46.5,47.1,49.5,50.4,48.4,46.9,44.6,42.4,41.6,40.3,40.8,41.0,41.4,42.7,41.4,37.3,46.0,44.0,45.1,46.9,48.0,51.6
7,Government,1.0,1.1,1.4,1.4,1.2,1.6,1.3,1.5,2.2,2.3,2.8,2.7,2.4,2.7,2.7,2.6,2.7,2.6,2.6,2.6,2.8,3.2,3.3,3.5,3.5,2.8,2.5,1.7,1.6,2.0,1.8
