,"Truck Container  2002  Total U.S.-Canadian border  6,820,052  Total top 5 gateways  4,544,669  Detroit, MI  1,668,496  Buffalo-Niagara, NY  1,208,096  Port Huron, MI  907,291  Blaine, WA  409,786  Champlain-Rouses Point, NY  351,000",Truck Container,2002,Total U.S.-Canadian border,"6,820,052",Total top 5 gateways,"4,544,669","Detroit, MI","1,668,496","Buffalo-Niagara, NY","1,208,096","Port Huron, MI","907,291","Blaine, WA","409,786","Champlain-Rouses Point, NY","351,000","Truck Container  2003  Total U.S.-Canadian border  6,606,307  Total top 5 gateways  4,397,004  Detroit, MI  1,588,769  Buffalo-Niagara, NY  1,162,950  Port Huron, MI  927,740  Champlain-Rouse Pt., NY  378,783  Blaine, WA  338,762",Truck Container.1,2003,Total U.S.-Canadian border.1,"6,606,307",Total top 5 gateways.1,"4,397,004","Detroit, MI.1","1,588,769","Buffalo-Niagara, NY.1","1,162,950","Port Huron, MI.1","927,740","Champlain-Rouse Pt., NY","378,783","Blaine, WA.1","338,762","Truck Container  2004  Total U.S.-Canadian border  6,775,388  Total top 5 gateways  4,520,932  Detroit, MI  1,638,062  Buffalo-Niagara, NY  1,175,884  Port Huron, MI  947,907  Champlain-Rouse Pt., NY  381,434  Blaine, WA  377,645",Truck Container.2,2004,Total U.S.-Canadian border.2,"6,775,388",Total top 5 gateways.2,"4,520,932","Detroit, MI.2","1,638,062","Buffalo-Niagara, NY.2","1,175,884","Port Huron, MI.2","947,907","Champlain-Rouse Pt., NY.1","381,434","Blaine, WA.2","377,645","Truck Container  2005  Total U.S.-Canadian border  6,775,444  Total top 5 gateways  4,472,799  Detroit, MI  1,678,177  Buffalo-Niagara, NY  1,142,274  Port Huron, MI  924,776  Champlain-Rouse Pt., NY  374,524  Blaine, WA  353,048",Truck Container.3,2005,Total U.S.-Canadian border.3,"6,775,444",Total top 5 gateways.3,"4,472,799","Detroit, MI.3","1,678,177","Buffalo-Niagara, NY.3","1,142,274","Port Huron, MI.3","924,776","Champlain-Rouse Pt., NY.2","374,524","Blaine, WA.3","353,048","Truck Container  2006  Total U.S.-Canadian border  6,669,623  Total top 5 gateways  4,412,181  Detroit, MI  1,715,969  Buffalo-Niagara, NY  1,118,120  Port Huron, MI  833,711  Champlain-Rouse Pt., NY  391,541  Blaine, WA  352,840",Truck Container.4,2006,Total U.S.-Canadian border.4,"6,669,623",Total top 5 gateways.4,"4,412,181","Detroit, MI.4","1,715,969","Buffalo-Niagara, NY.4","1,118,120","Port Huron, MI.4","833,711","Champlain-Rouse Pt., NY.3","391,541","Blaine, WA.4","352,840","Truck Container  2007  Total U.S.-Canadian border  6,365,752  Total top 5 gateways  4,306,192  Detroit, MI  1,725,426  Buffalo-Niagara, NY  1,088,469  Port Huron, MI  770,282  Champlain-Rouse Pt., NY  366,059  Blaine, WA  355,956",Truck Container.5,2007,Total U.S.-Canadian border.5,"6,365,752",Total top 5 gateways.5,"4,306,192","Detroit, MI.5","1,725,426","Buffalo-Niagara, NY.5","1,088,469","Port Huron, MI.5","770,282","Champlain-Rouse Pt., NY.4","366,059","Blaine, WA.5","355,956","Truck Container  2008  Total U.S.-Canadian border  5,782,214  Total top 5 gateways  3,827,225  Detroit, MI  1,482,250  Buffalo-Niagara, NY  981,329  Port Huron, MI  732,493  Champlain-Rouse Pt., NY  356,844  Blaine, WA  274,309",Truck Container.6,2008,Total U.S.-Canadian border.6,"5,782,214",Total top 5 gateways.6,"3,827,225","Detroit, MI.6","1,482,250","Buffalo-Niagara, NY.6","981,329","Port Huron, MI.6","732,493","Champlain-Rouse Pt., NY.5","356,844","Blaine, WA.6","274,309"
9,Total U.S.-Canadian border,6606307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Total top 5 gateways,4397004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"Detroit, MI",1588769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"Buffalo-Niagara, NY",1162950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"Port Huron, MI",927740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"Champlain-Rouse Pt., NY",378783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"Blaine, WA",338762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Truck Container,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Total U.S.-Canadian border,6775388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Total top 5 gateways,4520932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"Detroit, MI",1638062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"Buffalo-Niagara, NY",1175884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"Port Huron, MI",947907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"Champlain-Rouse Pt., NY",381434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"Blaine, WA",377645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Truck Container,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Total U.S.-Canadian border,6775444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Total top 5 gateways,4472799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"Detroit, MI",1678177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,"Buffalo-Niagara, NY",1142274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"Port Huron, MI",924776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,"Champlain-Rouse Pt., NY",374524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,"Blaine, WA",353048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Truck Container,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Total U.S.-Canadian border,6669623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Total top 5 gateways,4412181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,"Detroit, MI",1715969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,"Buffalo-Niagara, NY",1118120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,"Port Huron, MI",833711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,"Champlain-Rouse Pt., NY",391541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,"Blaine, WA",352840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Truck Container,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Total U.S.-Canadian border,6365752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Total top 5 gateways,4306192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,"Detroit, MI",1725426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,"Buffalo-Niagara, NY",1088469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,"Port Huron, MI",770282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,"Champlain-Rouse Pt., NY",366059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,"Blaine, WA",355956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Truck Container,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Total U.S.-Canadian border,5782214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Total top 5 gateways,3827225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,"Detroit, MI",1482250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,"Buffalo-Niagara, NY",981329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,"Port Huron, MI",732493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,"Champlain-Rouse Pt., NY",356844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,"Blaine, WA",274309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,"Rail Container  2002  Total U.S.-Canadian border  1,824,976  Total top 5 gateways  1,305,446  Port Huron, MI  424,635  Detroit, MI  293,300  International Falls, MN  238,515  Portal, ND  199,637  Buffalo-Niagara, NY  149,359",Rail Container,2002.0,Total U.S.-Canadian border,1824976.0,Total top 5 gateways,1305446.0,"Port Huron, MI",424635.0,"Detroit, MI",293300.0,"International Falls, MN",238515.0,"Portal, ND",199637.0,"Buffalo-Niagara, NY",149359.0,"Rail Container  2003  Total U.S.-Canadian border  1,868,245  Total top 5 gateways  1,333,244  Port Huron, MI  458,551  Detroit, MI  254,688  International Falls, MN  252,699  Portal, ND  217,390  Buffalo-Niagara, NY  149,916",Rail Container,2003.0,Total U.S.-Canadian border,1868245.0,Total top 5 gateways,1333244.0,"Port Huron, MI",458551.0,"Detroit, MI",254688.0,"International Falls, MN",252699.0,"Portal, ND",217390.0,"Buffalo-Niagara, NY",149916.0,"Rail Container  2004  Total U.S.-Canadian border  1,950,909  Total top 5 gateways  1,346,724  Port Huron, MI  474,175  International Falls, MN  259,165  Detroit, MI  234,823  Portal, ND  224,896  Buffalo-Niagara, NY  153,665",Rail Container,2004.0,Total U.S.-Canadian border,1950909.0,Total top 5 gateways,1346724.0,"Port Huron, MI",474175.0,"International Falls, MN",259165.0,"Detroit, MI",234823.0,"Portal, ND",224896.0,"Buffalo-Niagara, NY",153665.0,"Rail Container  2005  Total U.S.-Canadian border  1,940,557  Total top 5 gateways  1,325,479  Port Huron, MI  457,275  International Falls, MN  251,118  Portal, ND  231,832  Detroit, MI  231,482  Buffalo-Niagara, NY  153,772",Rail Container,2005.0,Total U.S.-Canadian border,1940557.0,Total top 5 gateways,1325479.0,"Port Huron, MI",457275.0,"International Falls, MN",251118.0,"Portal, ND",231832.0,"Detroit, MI",231482.0,"Buffalo-Niagara, NY",153772.0,"Rail Container  2006  Total U.S.-Canadian border  1,923,787  Total top 5 gateways  1,333,105  Port Huron, MI  445,269  International Falls, MN  282,784  Portal, ND  244,988  Detroit, MI  218,963  Buffalo-Niagara, NY  141,101",Rail Container,2006.0,Total U.S.-Canadian border,1923787.0,Total top 5 gateways,1333105.0,"Port Huron, MI",445269.0,"International Falls, MN",282784.0,"Portal, ND",244988.0,"Detroit, MI",218963.0,"Buffalo-Niagara, NY",141101.0,"Rail Container  2007  Total U.S.-Canadian border  1,939,876  Total top 5 gateways  1,347,207  Port Huron, MI  466,569  International Falls, MN  290,852  Portal, ND  242,220  Detroit, MI  213,777  Buffalo-Niagara, NY  133,789",Rail Container,2007.0,Total U.S.-Canadian border,1939876.0,Total top 5 gateways,1347207.0,"Port Huron, MI",466569.0,"International Falls, MN",290852.0,"Portal, ND",242220.0,"Detroit, MI",213777.0,"Buffalo-Niagara, NY",133789.0,"Rail Container  2008  Total U.S.-Canadian border  1,898,581  Total top 5 gateways  1,329,412  Port Huron, MI  426,661  International Falls, MN  335,442  Portal, ND  235,589  Detroit, MI  210,255  Buffalo-Niagara, NY  121,465",Rail Container,2008.0,Total U.S.-Canadian border,1898581.0,Total top 5 gateways,1329412.0,"Port Huron, MI",426661.0,"International Falls, MN",335442.0,"Portal, ND",235589.0,"Detroit, MI",210255.0,"Buffalo-Niagara, NY",121465.0
57,Rail Container,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Total U.S.-Canadian border,1824976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Total top 5 gateways,1305446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,"Port Huron, MI",424635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,"Detroit, MI",293300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,"International Falls, MN",238515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,"Portal, ND",199637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,"Buffalo-Niagara, NY",149359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Rail Container,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
