,Train,2014
0,Total U.S.-Mexican border,10413
1,Total top 5 gateways,9956
2,"Laredo, TX",3758
3,"Eagle Pass, TX",2728
4,"El Paso, TX",1990
5,"Nogales, AZ",795
6,"Brownsville, TX",685
