,Rail Container,2007
0,Total U.S.-Canadian border,1939876
1,Total top 5 gateways,1347207
2,"Port Huron, MI",466569
3,"International Falls, MN",290852
4,"Portal, ND",242220
5,"Detroit, MI",213777
6,"Buffalo-Niagara, NY",133789
