,Rail Container,2004
0,Total U.S.-Canadian border,1950909
1,Total top 5 gateways,1346724
2,"Port Huron, MI",474175
3,"International Falls, MN",259165
4,"Detroit, MI",234823
5,"Portal, ND",224896
6,"Buffalo-Niagara, NY",153665
