,Train,2002
0,Total U.S.-Mexican border,7757
1,Total top 5 gateways,7179
2,"Laredo, TX",3270
3,"Eagle Pass, TX",1718
4,"Brownsville, TX",964
5,"Nogales, AZ",607
6,"El Paso, TX",620
