,Â,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0,"Fatalities, total",212.0,215.0,173.0,191.0,225.0,179.0,152.0,185.0,192.0,190.0,183.0,197.0,109.0,120.0,111.0,106.0,121.0,149.0,144.0,155.0,139.0,126.0,157.0,164.0,160.0
1,Motor busc,92.0,80.0,91.0,79.0,90.0,69.0,82.0,100.0,90.0,91.0,82.0,89.0,64.0,73.0,61.0,49.0,76.0,76.0,63.0,54.0,64.0,69.0,68.0,79.0,73.0
2,Light rail,5.0,11.0,6.0,14.0,10.0,10.0,5.0,3.0,14.0,13.0,22.0,15.0,8.0,13.0,14.0,15.0,11.0,18.0,14.0,27.0,17.0,20.0,28.0,18.0,27.0
3,Heavy rail,51.0,59.0,33.0,37.0,41.0,43.0,32.0,28.0,18.0,21.0,19.0,26.0,30.0,17.0,15.0,7.0,12.0,25.0,31.0,50.0,40.0,25.0,37.0,40.0,32.0
4,Commuter rail,63.0,63.0,43.0,59.0,82.0,56.0,30.0,52.0,67.0,64.0,56.0,64.0,7.0,16.0,18.0,28.0,14.0,22.0,33.0,17.0,14.0,11.0,18.0,16.0,19.0
5,Demand responsive,0.0,2.0,0.0,2.0,2.0,1.0,3.0,2.0,2.0,1.0,4.0,3.0,0.0,1.0,0.0,7.0,7.0,8.0,3.0,2.0,3.0,1.0,5.0,9.0,8.0
6,Van pool,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,1.0,2.0,0.0
7,Automated guideway,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
8,"Injured persons, totald",20023.0,20594.0,21653.0,22081.0,20939.0,22159.0,22950.0,21452.0,21341.0,21727.0,22140.0,21260.0,7771.0,10271.0,7829.0,8102.0,8062.0,8719.0,6576.0,6599.0,6862.0,6962.0,6711.0,8108.0,8483.0
9,Motor busc,18876.0,19016.0,20556.0,20862.0,19663.0,20879.0,21222.0,20145.0,20136.0,20291.0,20329.0,19532.0,7211.0,8905.0,7164.0,7187.0,7186.0,7775.0,5805.0,5739.0,6272.0,6330.0,6037.0,6924.0,7150.0
10,Light rail,465.0,474.0,468.0,361.0,327.0,355.0,680.0,320.0,332.0,427.0,415.0,305.0,177.0,192.0,245.0,268.0,255.0,373.0,269.0,293.0,288.0,314.0,320.0,160.0,227.0
11,Heavy rail,296.0,308.0,273.0,365.0,309.0,348.0,431.0,336.0,261.0,286.0,425.0,598.0,90.0,218.0,158.0,86.0,94.0,102.0,62.0,127.0,80.0,83.0,110.0,110.0,102.0
12,Commuter rail,84.0,560.0,110.0,210.0,216.0,159.0,213.0,99.0,66.0,54.0,53.0,108.0,50.0,102.0,51.0,263.0,100.0,60.0,180.0,48.0,36.0,50.0,34.0,50.0,61.0
13,Demand responsive,286.0,200.0,233.0,224.0,399.0,395.0,379.0,499.0,492.0,632.0,869.0,679.0,200.0,836.0,174.0,280.0,373.0,383.0,240.0,343.0,135.0,177.0,192.0,814.0,924.0
14,Van pool,16.0,36.0,13.0,58.0,24.0,23.0,25.0,52.0,53.0,37.0,49.0,38.0,43.0,18.0,37.0,18.0,47.0,25.0,20.0,49.0,33.0,8.0,17.0,49.0,19.0
15,Automated guideway,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,18.0,0.0,1.0,1.0,0.0
16,"Accidents, totald",58002.0,46468.0,36380.0,30559.0,29972.0,25683.0,25166.0,24924.0,23937.0,23310.0,24261.0,23891.0,13968.0,7793.0,7838.0,8152.0,8970.0,8288.0,3452.0,3502.0,3477.0,3532.0,3379.0,4290.0,4601.0
17,Motor busc,55289.0,44467.0,34282.0,28596.0,27754.0,23819.0,23425.0,22995.0,22277.0,21407.0,22127.0,21799.0,12821.0,6720.0,6837.0,6983.0,7738.0,7233.0,2921.0,2867.0,2963.0,2992.0,2795.0,3383.0,3586.0
18,Light rail,699.0,671.0,600.0,449.0,512.0,309.0,341.0,363.0,328.0,300.0,357.0,344.0,558.0,556.0,490.0,625.0,634.0,623.0,189.0,154.0,155.0,192.0,223.0,133.0,197.0
19,Heavy rail,144.0,188.0,613.0,662.0,744.0,637.0,346.0,325.0,293.0,396.0,364.0,328.0,183.0,152.0,171.0,117.0,131.0,142.0,74.0,85.0,117.0,110.0,148.0,128.0,104.0
20,Commuter rail,175.0,248.0,181.0,208.0,266.0,216.0,201.0,192.0,193.0,215.0,258.0,237.0,89.0,89.0,93.0,68.0,77.0,128.0,103.0,126.0,131.0,113.0,77.0,58.0,78.0
21,Demand responsive,1613.0,814.0,668.0,524.0,659.0,647.0,774.0,886.0,664.0,862.0,997.0,976.0,283.0,267.0,219.0,249.0,356.0,130.0,158.0,252.0,99.0,119.0,125.0,567.0,625.0
22,Van pool,81.0,79.0,35.0,119.0,36.0,54.0,78.0,160.0,179.0,130.0,157.0,207.0,34.0,9.0,28.0,110.0,32.0,31.0,7.0,17.0,11.0,6.0,10.0,20.0,10.0
23,Automated guideway,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
24,"Vehicle-miles (millions), total",2490.0,2478.0,2510.0,2535.0,2581.0,2620.0,2605.0,2702.0,2833.0,2927.0,3002.0,3090.0,3084.0,3071.0,3139.0,3098.0,3126.0,3166.0,3228.0,3291.0,3208.0,3595.0,3780.0,3784.0,3828.0
25,Motor busc,1668.0,1661.0,1688.0,1690.0,1702.0,1702.0,1687.0,1719.0,1779.0,1835.0,1868.0,1911.0,1919.0,1876.0,1891.0,1853.0,1849.0,1872.0,1907.0,1982.0,1929.0,1770.0,1793.0,1793.0,1808.0
26,Light rail,24.0,27.0,28.0,27.0,34.0,34.0,37.0,41.0,43.0,48.0,52.0,53.0,60.0,64.0,63.0,67.0,72.0,80.0,84.0,49.0,50.0,82.0,103.0,98.0,102.0
27,Heavy rail,529.0,522.0,520.0,518.0,522.0,537.0,543.0,558.0,566.0,578.0,595.0,608.0,621.0,630.0,643.0,645.0,649.0,654.0,671.0,92.0,87.0,652.0,644.0,644.0,643.0
28,Commuter rail,187.0,188.0,188.0,206.0,210.0,217.0,203.0,216.0,242.0,249.0,253.0,257.0,255.0,256.0,279.0,271.0,283.0,289.0,275.0,272.0,272.0,274.0,278.0,287.0,294.0
29,Demand responsive,74.0,71.0,72.0,77.0,94.0,109.0,108.0,134.0,157.0,167.0,179.0,205.0,172.0,189.0,203.0,196.0,196.0,181.0,191.0,724.0,688.0,711.0,744.0,744.0,754.0
30,Van pool,8.0,8.0,13.0,16.0,18.0,19.0,25.0,33.0,44.0,49.0,52.0,54.0,56.0,55.0,58.0,65.0,77.0,87.0,99.0,171.0,181.0,104.0,213.0,213.0,222.0
31,Automated guideway,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,5.0,5.0,5.0
32,Rates per 100 million vehicle-milese,,,,,,,,,,,,,,,,,,,,,,,,,
33,"Fatalities, all modes",8.5,8.7,6.9,7.5,8.7,6.8,5.8,6.8,6.8,6.5,6.1,6.4,3.5,3.9,3.5,3.4,3.9,4.7,4.5,4.7,4.3,3.5,4.2,4.3,4.2
34,Motor busc,5.5,4.8,5.4,4.7,5.3,4.1,4.9,5.8,5.1,5.0,4.4,4.7,3.3,3.9,3.2,2.6,4.1,4.1,3.3,2.7,3.3,3.9,3.8,4.4,4.0
35,Light rail,20.8,40.3,21.2,51.1,29.6,29.0,13.3,7.4,32.3,27.1,42.3,28.5,13.3,20.4,22.1,22.3,15.4,22.5,16.7,54.9,34.3,24.4,27.2,18.4,26.5
36,Heavy rail,9.6,11.3,6.3,7.1,7.9,8.0,5.9,5.0,3.2,3.6,3.2,4.3,4.8,2.7,2.3,1.1,1.8,3.8,4.6,54.6,45.8,3.8,5.7,6.2,5.0
