,Train passengers – top 5 gateways,2006
0,"Skagway, AK",74347
1,"Buffalo-Niagara Falls, NY",37880
2,"Champlain-Rouses Point, NY",33518
3,"Blaine, WA",32184
4,"Port Huron, MI",16070
