,Â,1960,1965,1970,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0,Air,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
1,Certificated carriersa,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
2,Jet fuel,278,554,1119,1077,1213,1441,1739,1618,1652,1703,1780,1825,1878,1945,1895,2064,1980,1868,1750,1769,1906,1892,1854,1851,1776,1588,1575,1542,1458,1447,1470
3,General aviationb,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
4,Aviation gasoline,31,37,70,52,66,53,45,45,40,34,34,36,37,37,39,44,42,35,35,35,35,37,36,35,31,29,28,27,26,25,25
5,Jet fuel,N,8,30,65,109,98,94,82,70,65,66,80,87,91,116,138,138,131,134,133,175,217,234,212,243,206,204,207,204,179,195
6,Highway,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
7,"Gasoline, diesel and other fuels",Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
8,"Light duty vehicle, short wheel base and motorcyclec",5430,6558,8952,9793,9256,9456,9200,8507,8655,8869,8978,9003,9155,9244,9482,9693,9664,9727,9978,9976,9971,10235,9921,11876,11352,11360,11502,11653,11685,11686,11777
9,"Light duty vehicle, long wheel basec",N,U,1624,2516,3138,3609,4696,5040,5398,5651,5818,6014,6245,6513,6655,6971,6982,7059,7283,8013,8364,7764,8003,4868,4606,4710,4781,4660,4631,4637,4925
10,Single-unit 2-axle 6-tire or more truckd,N,1826,523,715,913,976,1102,1078,1086,1119,1191,1215,1241,1263,899,1236,1261,1275,1361,1171,1181,1253,1299,2152,2261,2143,1991,1875,1896,1913,1964
11,Combination truck,N,878,969,1210,1719,1847,2128,2217,2270,2341,2460,2608,2663,2677,3318,3236,3385,3365,3492,3141,3190,3652,3707,4076,4030,3699,3947,3717,3689,3798,3840
12,Bus,109,115,108,139,134,110,118,114,116,123,127,128,131,135,137,151,147,135,132,128,179,148,151,267,271,262,253,255,272,279,295
13,Transite,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
14,Electricity,10,9,9,10,9,15,17,17,17,18,18,18,18,18,18,18,19,20,20,20,20,21,21,22,23,23,23,24,23,24,24
15,Motor fuel,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
16,Dieself,30,36,40,53,63,89,95,97,100,99,99,99,78,79,82,84,86,87,99,81,80,78,80,79,78,96,93,91,90,89,79
17,Gasoline and other nondiesel fuelsg,25,16,9,1,1,6,4,4,5,6,8,8,3,3,3,3,3,3,5,3,4,4,4,4,4,13,13,13,13,14,14
18,Compressed natural gas,N,N,N,N,N,N,N,N,0,0,1,2,2,3,4,5,6,8,10,12,13,14,16,16,16,21,18,19,18,19,20
19,"Rail, Class I (in freight service)",Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
20,Distillate / diesel fuel,507,526,519,535,571,455,456,425,440,452,488,509,524,523,524,544,541,543,546,560,594,600,613,594,569,467,511,539,527,539,540
21,Amtrak,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
22,Electricity,N,N,N,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,(R) 2,2
23,Distillate / diesel fuel,N,N,N,9,9,10,12,12,12,12,11,11,10,11,11,12,14,14,12,11,10,10,9,9,9,9,9,9,9,(R) 10,10
24,Water,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
25,Residual fuel oil,624,489,596,641,1414,725,999,1070,1037,834,851,930,900,791,888,922,1012,854,766,612,741,818,909,999,830,725,812,720,761,665,608
26,Distillate / diesel fuel oil,115,95,120,161,216,249,302,299,325,315,320,342,364,377,380,354,331,299,304,324,313,293,278,282,290,280,293,312,259,245,233
27,Gasoline,N,N,79,96,139,139,171,226,174,115,115,140,131,130,126,145,148,131,143,146,133,166,163,161,150,149,154,146,144,148,187
28,Pipeline,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
29,Natural gas,378,544,786,634,690,548,718,654,639,679,746,762,774,817,691,702,699,680,725,643,616,635,635,676,705,729,733,748,795,(R) 906,909
