,Truck,2010
0,Total U.S.-Mexican border,4742925
1,Total top 5 gateways,3792491
2,"Laredo, TX",1585682
3,"Otay Mesa, CA",729605
4,"El Paso, TX",710363
5,"Hidalgo, TX",459331
6,"Nogales, AZ",307510
