14,Other local roadsh,379410,486567,421179,509161,512336,528352,535264,530529,537941,12245,12171,12709,12695,13331,13614,14111,14418,6432,6567,6533,U,5470,5806,6133,6651
15,"Rural / urban mileage by functional system, total5",3545693,3730082,3859837,3866926,3906595,3912226,3919652,3944597,3906292,3917240,3936222,3948335,3966485,3974107,3981512,3995635,4016741,4032126,4042778,4049829,4063777,5018131,4088334,4110620,4171607
16,"Rural mileage, total",3116125,3169412,3230936,3122282,3092810,3092520,3092887,3108488,3064649,3071181,3083979,3071331,3071761,3033138,3000236,2985796,2987375,2987758,2977222,2968458,2974076,3922758,2975316,2932633,2969888
17,Interstate,N,N,31905,33547,32457,32580,32820,32819,32808,32974,33048,33061,32992,32048,31443,30905,30586,30360,30196,30142,30218,30256,30522,29678,29095
18,Other principal arterial,N,N,82569,83802,97175,97948,98131,98257,98858,98856,98919,99185,98853,97038,95946,95156,94937,94766,94949,94051,92089,91280,91420,90405,90272
19,Minor arterial,N,N,149057,144774,138120,137151,137359,137498,137308,137463,137575,137587,137568,135596,135449,135408,135386,135296,135024,135115,135450,135650,135097,132845,132672
20,Major collector,N,N,439000,436352,431115,431712,432117,432728,432408,432954,433121,433284,430946,424288,420046,419999,419117,419437,418229,415851,418604,420136,419109,414816,410287
21,Minor collector,N,N,299613,293922,282011,274081,273198,272350,272140,271690,271803,271377,270700,267524,267842,264387,262841,262899,262607,262710,263026,263053,262190,262490,258513
22,Local,N,N,2228792,2129885,2111932,2119048,2119262,2134836,2091127,2097244,2109513,2096837,2100702,2076644,2049510,2039941,2044508,2045000,2036217,2030589,2034690,2982383,2036976,2002399,2049049
23,"Urban mileage, total",429568,560670,628901,744644,813785,819706,826765,836109,841643,846059,852243,877004,894724,940969,981276,1009839,1029366,1044368,1065556,1081371,1089701,1095373,1113018,1177986,1201719
24,Interstate,N,N,9215,11527,13126,13164,13217,13249,13276,13343,13379,13406,13491,14460,15129,15703,16044,16312,16555,16578,16682,16704,16910,17896,18567
25,Other freeways and expressways,N,N,6774,7668,8994,8970,9027,9062,9163,9125,9140,9126,9323,9870,10246,10560,10748,10913,11335,11399,11319,11495,11469,11602,11784
26,Other principal arterial,N,N,44155,51968,53110,52796,52983,53230,53132,53206,53314,53056,53439,56870,59695,61803,62830,63282,64557,64524,65105,64982,65193,66510,66761
27,Minor arterial,N,N,66377,74659,87857,88510,89020,89196,89496,89399,89789,89962,90411,93888,97433,101673,102975,104033,106172,108958,107366,107292,108328,111028,112288
28,Collector,N,N,68387,78254,86089,87331,87790,88042,88071,88008,88200,88713,89247,97114,102150,106109,108833,109555,113848,114687,117597,117759,119286,126502,139564
29,Local,N,N,433993,520568,564609,568935,574728,583330,588505,592978,598421,622741,638813,668767,696623,713991,727936,740273,753089,765224,771632,777142,791832,844448,852755
30,U.S. roads and streets by surface6,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
31,"Paved mileage, total",1230469,1658421,2072692,2254822,2342179,2378268,2380650,2409935,2420344,2451426,2501716,2523479,2577693,2612069,2577963,2601490,2629638,2635471,2734102,U,U,2605331,2646361,2677526,2744171
32,Rural,919082,1188080,1490050,1550283,1561649,1591334,1582166,1605804,1612251,1641877,1682140,1678795,1714714,1702175,1629423,1625390,1637819,1629207,1701343,U,U,1608909,1612259,1592493,1616243
33,Urban,311387,470341,582642,704539,780530,786934,798484,804131,808093,809549,819576,844684,862979,909894,948540,976100,991819,1006264,1032759,U,U,996422,1034102,1085033,1127928
34,Percent paved,34.7%,44.5%,53.7%,58.3%,60.0%,60.8%,60.5%,60.9%,61.3%,62.4%,63.3%,63.7%,64.8%,65.5%,64.5%,64.9%,65.2%,65.1%,67.4%,U,U,65.4%,65.1%,65.8%,65.9%
35,"Unpaved mileage, total",2315224,2071661,1787145,1612104,1564416,1533958,1553537,1548349,1528549,1478977,1448319,1438723,1402995,1376283,1417527,1408757,1401791,1411779,1324245,U,U,1375486,1417904,1393651,1421083
36,Rural,2197043,1981332,1740886,1571999,1531161,1501186,1518310,1510330,1490488,1436969,1409279,1400129,1364900,1333969,1373622,1363383,1352456,1361551,1278838,U,U,1308418,1357439,1326600,1355175
37,Urban,118181,90329,46259,40105,33255,32772,35227,38019,38061,42008,39040,38594,38095,42314,43905,45374,49335,50228,45407,U,U,67069,60465,67051,65908
38,Percent unpaved,65.3%,55.5%,46.3%,41.7%,40.0%,39.2%,39.5%,39.1%,38.7%,37.6%,36.7%,36.3%,35.2%,34.5%,35.5%,35.1%,34.8%,34.9%,32.6%,U,U,34.6%,34.9%,34.2%,34.1%
39,Number of employees,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
40,State and local govt. highways7,532000,607000,559000,569000,544233,543143,U,548486,530097,542612,546215,551706,545249,545617,542642,546220,545089,522823,523156,522903,504446,489713,480671,474935,473369
41,"Highway, street and bridge constructioni,8",U,U,U,U,274000,278100,287500,294200,308000,336300,340100,345800,345900,340100,347000,350800,348300,344500,"(R) 327,192",290808,286933,286058,294458,292892,294325
