,Rail Container,2003
0,Total U.S.-Canadian border,1868245
1,Total top 5 gateways,1333244
2,"Port Huron, MI",458551
3,"Detroit, MI",254688
4,"International Falls, MN",252699
5,"Portal, ND",217390
6,"Buffalo-Niagara, NY",149916
