,Train,2005
0,Total U.S.-Canadian border,32807
1,Total top 5 gateways,19129
2,"Port Huron, MI",6344
3,"International Falls, MN",3980
4,"Detroit, MI",3602
5,"Buffalo-Niagara, NY",2918
6,"Warroad, MN",2285
