,Truck,2005
0,Total U.S.-Canadian border,6783944
1,Total top 5 gateways,4553263
2,"Detroit, MI",1745318
3,"Buffalo-Niagara, NY",1142411
4,"Port Huron, MI",922401
5,"Champlain-Rouse Pt., NY",388869
6,"Blaine, WA",354264
