,Truck,2013
0,Total U.S.-Mexican border,5194867
1,Total top 5 gateways,4191478
2,"Laredo, TX",1846282
3,"Otay Mesa, CA",769886
4,"El Paso, TX",738914
5,"Hidalgo, TX",510706
6,"Calexico East, CA",325690
