,Rail Container,2015
0,Total U.S.-Canadian border,2337488
1,Total top 5 gateways,1723512
2,"International Falls, MN",703399
3,"Port Huron, MI",437175
4,"Portal, ND",256478
5,"Blaine, WA",168196
6,"Detroit, MI",158264
