,All U.S.-Mexican land gateways,2014
0,All personal vehicle passengers,129243838
1,All personal vehicles,69623693
2,All pedestrians,41223292
3,All bus passengers,2782895
4,All buses,213780
5,All train passengers,"(R) 10,578"
