,Â,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
0,Total operations,5202096.0,5041200.0,5270893.0,5076925.0,5092157.0,5070501.0,5180048.0,5327435.0,5351983.0,5411843.0,5384721.0,5527884.0,5683047.0,5967780.0,5271359.0,6488540.0,7129270.0,7140596.0,7141922.0,7455458.0,7009726.0,6450285.0,6450117.0,6085281.0,6096762.0,6369482.0,5819811.0,5819079.0
1,Late departures,730712.0,883167.0,753182.0,621509.0,617148.0,661056.0,729960.0,827934.0,973948.0,846870.0,870395.0,937273.0,1131663.0,953808.0,717368.0,834390.0,1187594.0,1279404.0,1424777.0,1572978.0,1327198.0,1084290.0,1111948.0,1042427.0,991834.0,1229333.0,1193249.0,1055500.0
2,Percent of total,14.0,17.5,14.3,12.2,12.1,13.0,14.1,15.5,18.2,15.6,16.2,17.0,19.9,16.0,13.6,12.9,16.7,17.9,19.9,21.1,18.9,16.8,17.2,17.1,16.3,19.3,20.5,18.1
3,Late arrivals,1042452.0,1208470.0,1087774.0,890068.0,902567.0,931437.0,960254.0,1039250.0,1220045.0,1083834.0,1070071.0,1152725.0,1356040.0,1104439.0,868225.0,1057804.0,1421391.0,1466065.0,1615537.0,1804028.0,1524735.0,1218288.0,1174884.0,1109872.0,1015158.0,1269277.0,1240528.0,1063439.0
4,Percent of total,20.0,24.0,20.6,17.5,17.7,18.4,18.5,19.5,22.8,20.0,19.9,20.9,23.9,18.5,16.5,16.3,19.9,20.5,22.6,24.2,21.8,18.9,18.2,18.2,16.7,19.9,21.3,18.3
5,Cancellations,50163.0,74165.0,52458.0,43505.0,52836.0,59845.0,66740.0,91905.0,128536.0,97763.0,144509.0,154311.0,187490.0,231198.0,65143.0,101469.0,127757.0,133730.0,121934.0,160809.0,137432.0,89377.0,113255.0,115978.0,78862.0,96012.0,126984.0,89884.0
6,Percent of total,1.0,1.5,1.0,0.9,1.0,1.2,1.3,1.7,2.4,1.8,2.7,2.8,3.3,3.9,1.2,1.6,1.8,1.9,1.7,2.2,2.0,1.4,1.8,1.9,1.3,1.5,2.2,1.5
7,Diversions,14436.0,14839.0,15954.0,12585.0,11384.0,10333.0,12106.0,10492.0,14121.0,12081.0,13161.0,13555.0,14254.0,12909.0,8356.0,11381.0,13784.0,14028.0,16186.0,17182.0,17265.0,15463.0,15474.0,14399.0,12519.0,14160.0,14449.0,15187.0
8,Percent of total,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3
