,Truck,2008
0,Total U.S.-Canadian border,5894551
1,Total top 5 gateways,3920345
2,"Detroit, MI",1510487
3,"Buffalo-Niagara, NY",981329
4,"Port Huron, MI",732422
5,"Champlain-Rouse Pt., NY",364912
6,"Blaine, WA",331195
