,Personal vehicles – top 5 gateways,2006
0,"Buffalo-Niagara Falls, NY",6026058
1,"Detroit, MI",5634179
2,"Blaine, WA",2596970
3,"Port Huron, MI",1975745
4,"Calais, ME",1173617
