,Truck,2009
0,Total U.S.-Canadian border,5020633
1,Total top 5 gateways,3274768
2,"Detroit, MI",1197967
3,"Buffalo-Niagara, NY",846114
4,"Port Huron, MI",625642
5,"Blaine, WA",310075
6,"Champlain-Rouse Pt., NY",294970
