,Â,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
0,"Total, all modes",24829,24823,25966,24980,29433,33569,37026,40286,39983,40051,42081,42061,44048,49808,51460,48098,45687,53113
1,Highway,18457,18712,19819,19073,21952,25710,27630,29890,29840,29276,30847,32770,33828,36112,36340,34103,31999,39591
2,Air,1826,1655,1489,1511,1565,1578,2017,2860,2681,2958,3542,3841,3874,3808,3759,3156,3095,3012
3,Transit,4442,4355,4566,4303,5836,6230,7313,7450,7397,7597,7638,5411,6322,9847,11182,10572,9857,9644
4,Water,62,55,31,32,21,9,1,0,0,0,0,0,0,2,116,199,166,126
5,Rail,21,23,37,35,33,13,31,43,22,20,35,20,5,16,28,38,302,508
6,Pipeline,10,11,12,13,14,13,14,19,19,15,19,19,19,23,35,30,32,25
7,General Support,11,12,12,12,12,16,20,24,24,185,0,0,0,0,0,0,236,207
