,Bus passengers – top 5 gateways,2006
0,"Detroit, MI",911799
1,"Buffalo, Niagara Falls, NY",885061
2,"Blaine, WA",452521
3,"Champlain-Rouses Point, NY",294028
4,"Skagway, AK",144819
