,Personal vehicles ─ top 5 gateways,2005
0,"San Ysidro, CA",17208106
1,"El Paso, TX",15971739
2,"Brownsville, TX",7103553
3,"Hidalgo, TX",6969846
4,"Otay Mesa, CA",6672994
