,Â,1960,1965,1970,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0,Number of vehicles (millions),65,62,61,62,75,94,93,97,103,108,116,116,94,98,100,103,106,111,112,115,117,122,126,126,129,136,136,137,130,137,133
1,Vehicle-miles traveled (millions),2143,2008,1883,2176,2287,2791,3242,3306,3355,3435,3468,3550,2751,2853,2970,3111,3202,3319,3433,3476,3548,3603,3671,3769,3895,3988,4400,4331,4347,4413,4429
2,Electric power consumed (million kWh),2908,2584,2561,2646,2446,4216,4837,4853,4716,4865,5081,5068,4923,4908,4962,5126,5382,5485,5529,5508,5657,5765,5770,6216,6337,6492,6414,6534,6506,6651,6673
3,Primary energy consumed (thousand gallons),Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
4,Diesel,208100,248400,270600,365060,431400,608738,651030,665158,684944,678511,678226,678286,534958,539169,560448,575889,590610,595918,673040,554286,541998,480456,528236,514954,499400,614433,583446,573409,557579,542305,505331
5,Gasoline and other nondiesel fuelsb,191900,124200,68200,7576,11400,45704,33906,34467,37179,45672,60003,60730,25227,25726,22107,21097,23641,26008,35395,26690,30874,80720,46907,51300,67919,141668,146804,152614,157077,"(R) 172,767",145476
6,Compressed natural gas,N,N,N,N,N,N,N,N,1009,1579,4835,10740,11476,19339,28800,34825,43676,52510,65774,79456,86595,93866,110643,107703,112753,142156,126235,128499,124059,131899,137840
