,Rail Container,2006
0,Total U.S.-Mexican border,803291
1,Total top 5 gateways,788472
2,"Laredo, TX",332950
3,"El Paso, TX",185614
4,"Eagle Pass, TX",112521
5,"Brownsville, TX",97572
6,"Nogales, AZ",59815
