,Personal vehicles – top 5 gateways,2002
0,"Buffalo-Niagara Falls, NY",7569643
1,"Detroit, MI",6857332
2,"Blaine, WA",2385389
3,"Port Huron, MI",2187210
4,"Massena, NY",1162510
