,Train,2007
0,Total U.S.-Mexican border,10648
1,Total top 5 gateways,9745
2,"Laredo, TX",3994
3,"El Paso, TX",2691
4,"Eagle Pass, TX",1485
5,"Brownsville, TX",984
6,"Calexico East, CA",591
