,Â,2002,2003,2004,2005,2006,2007,2008,2009
0,Enplanements,"(R) 551,960,680","(R) 583,293,766","(R) 629,769,620","(R) 657,261,487","(R) 658,362,620","(R) 679,185,450","(R) 651,721,539",617977733
1,Total prohibited items,3775345,6114612,7089599,15887596,13711759,6516022,972810,129461
2,Firearms,927,683,650,2217,2075,1416,902,889
3,Knivesb,1036697,1961849,2058652,1822752,1607125,1056687,626182,U
4,Box cuttersb,32788,20991,22350,21315,15999,11908,6284,U
5,Other cutting instrumentsb,1846207,2973413,3567731,3276691,163419,101387,59459,U
6,Clubsb,11131,25139,28813,20531,12296,9443,6447,U
7,Incendiaries,79341,494123,693649,398830,113700,89623,116200,127176
8,Otherb,768254,638414,717754,10345260,11797145,5245558,157336,1396
