,State,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,PR,Total
0,Ban on hand-held devices for all drivers,Â,Â,Y,Y,Y,Â,Y,Â,Â,Â,Â,Y,Â,Â,Â,Â,Â,Â,Â,Y,Â,Y,Y,Â,Â,Y,16
1,Ban on texting for all drivers,Â,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Â,Y,Y,Y,Y,Y,Y,Y,Y,48
