,Train passengers – top 5 gateways,2010
0,"Skagway, AK",71970
1,"Blaine, WA",60680
2,"Champlain-Rouses Point, NY",41625
3,"Buffalo-Niagara Falls, NY",31432
4,"Port Huron, MI",8226
