,Truck Container,2015
0,Total U.S.-Canadian border,5864339
1,Total top 5 gateways,4062964
2,"Detroit, MI",1831969
3,"Buffalo-Niagara, NY",873973
4,"Port Huron, MI",790103
5,"Blaine, WA",289825
6,"Champlain-Rouse Pt., NY",277094
